day,month,weekday,year,isWeekend,isHoliday,customer,subscriber,TMIN,TAVG,TMAX,SNOW,PRCP,SNWD,AWND
1,3,2,2017,False,False,1027,39374,48,51,61,0.0,0.01,0.0,11.63
2,3,3,2017,False,False,1006,34511,37,52,62,0.0,0.0,0.0,25.5
3,3,4,2017,False,False,867,30060,25,37,42,0.0,0.0,0.0,18.34
4,3,5,2017,True,False,549,14949,18,27,34,0.0,0.0,0.0,20.8
5,3,6,2017,True,False,684,15076,16,24,38,0.0,0.0,0.0,13.65
6,3,0,2017,False,False,912,31432,22,32,42,0.0,0.0,0.0,8.05
7,3,1,2017,False,False,460,29114,42,44,50,0.0,0.11,0.0,10.51
8,3,2,2017,False,False,1764,41408,46,52,61,0.0,0.05,0.0,16.55
9,3,3,2017,False,False,1907,42959,46,55,64,0.0,0.0,0.0,19.46
10,3,4,2017,False,False,222,18129,24,42,49,2.4,0.26,0.0,17.45
11,3,5,2017,True,False,515,14545,18,25,29,0.0,0.0,2.0,18.57
12,3,6,2017,True,False,400,12957,20,25,32,0.0,0.0,1.2,18.34
13,3,0,2017,False,False,497,26806,20,26,34,0.0,0.0,0.0,9.17
14,3,1,2017,False,False,0,0,23,32,36,5.1,1.94,3.9,24.61
15,3,2,2017,False,False,0,0,22,25,28,0.0,0.0,3.9,21.25
16,3,3,2017,False,False,0,0,25,30,40,0.0,0.0,3.9,17.22
17,3,4,2017,False,False,221,6808,30,36,45,0.0,0.0,3.1,13.2
18,3,5,2017,True,False,139,3934,28,36,40,0.0,0.07,2.0,10.96
19,3,6,2017,True,False,677,9720,35,40,48,0.0,0.0,1.2,14.54
20,3,0,2017,False,False,818,26451,35,43,55,0.0,0.0,0.0,12.53
21,3,1,2017,False,False,1155,35456,42,49,57,0.0,0.0,0.0,9.17
22,3,2,2017,False,False,410,26396,24,42,50,0.0,0.0,0.0,23.49
23,3,3,2017,False,False,796,28920,23,31,44,0.0,0.0,0.0,11.63
24,3,4,2017,False,False,1152,32672,32,40,49,0.0,0.0,0.0,13.87
25,3,5,2017,True,False,3874,25074,42,51,62,0.0,0.01,0.0,8.72
26,3,6,2017,True,False,1496,18107,39,42,43,0.0,0.14,0.0,12.08
27,3,0,2017,False,False,791,25375,40,45,58,0.0,0.19,0.0,6.04
28,3,1,2017,False,False,256,21237,42,47,49,0.0,0.93,0.0,8.28
29,3,2,2017,False,False,2180,39977,42,49,61,0.0,0.0,0.0,16.33
30,3,3,2017,False,False,1924,37451,37,43,50,0.0,0.01,0.0,9.62
31,3,4,2017,False,False,78,6854,39,41,42,0.0,2.07,0.0,16.11
1,7,5,2017,True,False,9344,27393,67,72,78,0.0,0.53,0.0,12.3
2,7,6,2017,True,False,14786,28250,71,77,89,0.0,0.0,0.0,10.07
3,7,0,2017,False,False,11551,36642,71,79,89,0.0,0.0,0.0,7.83
4,7,1,2017,False,True,15987,33937,70,77,85,0.0,0.0,0.0,6.49
5,7,2,2017,False,False,7054,53267,69,76,83,0.0,0.0,0.0,8.95
6,7,3,2017,False,False,6118,56029,69,73,77,0.0,0.0,0.0,8.28
7,7,4,2017,False,False,3983,40085,69,73,83,0.0,1.92,0.0,8.95
8,7,5,2017,True,False,13155,41860,70,77,87,0.0,0.0,0.0,10.96
9,7,6,2017,True,False,14246,42872,69,77,83,0.0,0.0,0.0,11.41
10,7,0,2017,False,False,5588,55319,66,75,83,0.0,0.0,0.0,12.75
11,7,1,2017,False,False,4654,57017,73,78,88,0.0,0.16,0.0,9.84
