DATE,TMIN,TAVG,TMAX,SNOW,PRCP,SNWD,AWND
2017-01-01,34,45,52,0.0,0.0,0.0,9.84
2017-01-02,34,40,43,0.0,0.31,0.0,10.07
2017-01-03,41,43,46,0.0,0.46,0.0,13.42
2017-01-04,35,46,55,0.0,0.0,0.0,17.67
2017-01-05,28,34,35,0.0,0.0,0.0,17.67
2017-01-06,27,32,36,1.1,0.03,1.2,8.72
2017-01-07,21,25,27,8.2,0.22,0.0,16.11
2017-01-08,18,21,26,0.0,0.0,7.9,18.34
2017-01-09,13,20,24,0.0,0.0,7.1,11.18
2017-01-10,20,27,47,0.0,0.0,5.9,7.83
2017-01-11,41,45,51,0.0,0.46,1.2,11.63
2017-01-12,46,50,61,0.0,0.1,1.2,11.41
2017-01-13,34,50,58,0.0,0.0,0.0,16.78
2017-01-14,28,32,34,1.8,0.15,0.0,5.82
2017-01-15,30,35,41,0.0,0.0,2.0,8.28
2017-01-16,28,35,42,0.0,0.0,0.0,6.71
2017-01-17,39,40,43,0.0,0.59,0.0,7.38
2017-01-18,40,41,42,0.0,0.09,0.0,10.74
2017-01-19,37,43,54,0.0,0.0,0.0,8.5
2017-01-20,42,44,46,0.0,0.08,0.0,5.59
2017-01-21,42,44,47,0.0,0.0,0.0,8.5
2017-01-22,43,46,54,0.0,0.01,0.0,8.95
2017-01-23,38,44,47,0.0,0.84,0.0,25.05
2017-01-24,38,38,40,0.0,1.22,0.0,21.7
2017-01-25,37,42,51,0.0,0.0,0.0,14.76
2017-01-26,42,45,55,0.0,0.03,0.0,14.76
2017-01-27,36,42,46,0.0,0.0,0.0,20.8
2017-01-28,34,37,40,0.0,0.0,0.0,17.67
2017-01-29,30,38,46,0.0,0.0,0.0,11.63
2017-01-30,30,36,39,0.0,0.0,0.0,12.53
2017-01-31,26,30,32,0.6,0.05,0.0,6.26
2017-02-01,27,38,48,0.0,0.0,0.0,12.53
2017-02-02,32,40,47,0.0,0.0,0.0,11.86
2017-02-03,26,32,34,0.0,0.0,0.0,13.2
2017-02-04,23,29,35,0.0,0.0,0.0,14.99
